ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",2,"Black",17544,5427,"Census Tract 174.01, New York County, NY","14000US36061017401"
2017,"2017",2,"Black",24491,13674,"Census Tract 174.02, New York County, NY","14000US36061017402"
2017,"2017",2,"Black",26875,16863,"Census Tract 177, New York County, NY","14000US36061017700"
2017,"2017",2,"Black",39718,26604,"Census Tract 178, New York County, NY","14000US36061017800"
2017,"2017",2,"Black",33393,10751,"Census Tract 180, New York County, NY","14000US36061018000"
2017,"2017",2,"Black",19432,10128,"Census Tract 182, New York County, NY","14000US36061018200"
2017,"2017",2,"Black",19861,8015,"Census Tract 183, New York County, NY","14000US36061018300"
2017,"2017",2,"Black",33389,9137,"Census Tract 184, New York County, NY","14000US36061018400"
2017,"2017",2,"Black",72569,67547,"Census Tract 185, New York County, NY","14000US36061018500"
2017,"2017",2,"Black",32969,10547,"Census Tract 186, New York County, NY","14000US36061018600"
2017,"2017",2,"Black",27917,19244,"Census Tract 187, New York County, NY","14000US36061018700"
2017,"2017",2,"Black",38961,16978,"Census Tract 188, New York County, NY","14000US36061018800"
2017,"2017",2,"Black",19621,7595,"Census Tract 189, New York County, NY","14000US36061018900"
2017,"2017",2,"Black",40823,18550,"Census Tract 190, New York County, NY","14000US36061019000"
2017,"2017",2,"Black",15184,3987.0000000000005,"Census Tract 192, New York County, NY","14000US36061019200"
2017,"2017",2,"Black",33324,23861,"Census Tract 193, New York County, NY","14000US36061019300"
2017,"2017",2,"Black",16120,3970,"Census Tract 194, New York County, NY","14000US36061019400"
2017,"2017",2,"Black",13775,6269,"Census Tract 196, New York County, NY","14000US36061019600"
2017,"2017",2,"Black",36042,11051,"Census Tract 197.02, New York County, NY","14000US36061019702"
2017,"2017",2,"Black",59143,23199,"Census Tract 198, New York County, NY","14000US36061019800"
2017,"2017",2,"Black",56576,16390,"Census Tract 200, New York County, NY","14000US36061020000"
2017,"2017",2,"Black",34435,5603,"Census Tract 201.02, New York County, NY","14000US36061020102"
2017,"2017",2,"Black",62574,45133,"Census Tract 203, New York County, NY","14000US36061020300"
2017,"2017",2,"Black",42699,18234,"Census Tract 206, New York County, NY","14000US36061020600"
2017,"2017",2,"Black",42009,11258,"Census Tract 208, New York County, NY","14000US36061020800"
2017,"2017",2,"Black",26875,25973,"Census Tract 209.01, New York County, NY","14000US36061020901"
2017,"2017",2,"Black",27871,8763,"Census Tract 210, New York County, NY","14000US36061021000"
2017,"2017",2,"Black",33707,25591,"Census Tract 211, New York County, NY","14000US36061021100"
2017,"2017",2,"Black",51226,14560,"Census Tract 212, New York County, NY","14000US36061021200"
2017,"2017",2,"Black",33175,11065,"Census Tract 213.03, New York County, NY","14000US36061021303"
2017,"2017",2,"Black",47109,9169,"Census Tract 214, New York County, NY","14000US36061021400"
2017,"2017",2,"Black",25075,4176,"Census Tract 215, New York County, NY","14000US36061021500"
2017,"2017",2,"Black",42587,10055,"Census Tract 216, New York County, NY","14000US36061021600"
2017,"2017",2,"Black",35701,13230,"Census Tract 218, New York County, NY","14000US36061021800"
2017,"2017",2,"Black",23353,4564,"Census Tract 219, New York County, NY","14000US36061021900"
2017,"2017",2,"Black",45184,13174,"Census Tract 220, New York County, NY","14000US36061022000"
2017,"2017",2,"Black",41759,14283.000000000002,"Census Tract 221.02, New York County, NY","14000US36061022102"
2017,"2017",2,"Black",31089,10540,"Census Tract 222, New York County, NY","14000US36061022200"
2017,"2017",2,"Black",26280,11005,"Census Tract 223.02, New York County, NY","14000US36061022302"
2017,"2017",2,"Black",29457,13310,"Census Tract 224, New York County, NY","14000US36061022400"
2017,"2017",2,"Black",37213,13258,"Census Tract 225, New York County, NY","14000US36061022500"
2017,"2017",2,"Black",30129,18395,"Census Tract 226, New York County, NY","14000US36061022600"
2017,"2017",2,"Black",33306,13162,"Census Tract 227, New York County, NY","14000US36061022700"
2017,"2017",2,"Black",27064,6369,"Census Tract 228, New York County, NY","14000US36061022800"
2017,"2017",2,"Black",36094,14184.000000000002,"Census Tract 229, New York County, NY","14000US36061022900"
2017,"2017",2,"Black",27071,10512,"Census Tract 230, New York County, NY","14000US36061023000"
2017,"2017",2,"Black",27138,6832.999999999999,"Census Tract 231, New York County, NY","14000US36061023100"
2017,"2017",2,"Black",34375,5467,"Census Tract 232, New York County, NY","14000US36061023200"
2017,"2017",2,"Black",33102,23290,"Census Tract 234, New York County, NY","14000US36061023400"
2017,"2017",2,"Black",33433,10031,"Census Tract 235.01, New York County, NY","14000US36061023501"
2017,"2017",2,"Black",26033,9045,"Census Tract 235.02, New York County, NY","14000US36061023502"
2017,"2017",2,"Black",37610,8788,"Census Tract 236, New York County, NY","14000US36061023600"
2017,"2017",2,"Black",52095,13183,"Census Tract 237, New York County, NY","14000US36061023700"
2017,"2017",2,"Black",64226,25732,"Census Tract 238.01, New York County, NY","14000US36061023801"
