"Name","Monthly Rent"
"Description","The monthly rent (in dollars) agreed to or contracted for, regardless of any furnishings, utilities, fees, meals, or services that may be included.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B25056 (2009-2020);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Percents refer to the percent of all occupied rental units."

Location,Rent Level,TimeFrame,DataFormat,Data,Fips
Bedford Stuyvesant,"$1,000 to $1,499",2016,Number,9996,303
Fort Greene/Brooklyn Hts,"$1,000 to $1,499",2016,Number,5872,302
Park Slope,"$1,000 to $1,499",2016,Number,4433,306
Crown Heights North,"$1,000 to $1,499",2016,Number,12070,308
Brownsville,"$1,000 to $1,499",2016,Number,10531,316
East New York,"$1,000 to $1,499",2016,Number,14609,305
Canarsie,"$1,000 to $1,499",2016,Number,12125,318
East Flatbush,"$1,000 to $1,499",2016,Number,16886,317
Crown Heights South,"$1,000 to $1,499",2016,Number,16075,309
Sunset Park,"$1,000 to $1,499",2016,Number,12722,307
Bay Ridge,"$1,000 to $1,499",2016,Number,14690,310
Borough Park,"$1,000 to $1,499",2016,Number,13367,312
Flatbush/Midwood,"$1,000 to $1,499",2016,Number,21623,314
Sheepshead Bay,"$1,000 to $1,499",2016,Number,12839,315
Bensonhurst,"$1,000 to $1,499",2016,Number,21152,311
Coney Island,"$1,000 to $1,499",2016,Number,9913,313
Astoria,"$1,000 to $1,499",2016,Number,19256,401
Jackson Heights,"$1,000 to $1,499",2016,Number,16998,403
Flushing,"$1,000 to $1,499",2016,Number,17791,407
Bayside,"$1,000 to $1,499",2016,Number,4531,411
Queens Village,"$1,000 to $1,499",2016,Number,7188,413
Fresh Meadows/Briarwood,"$1,000 to $1,499",2016,Number,12468,408
Elmhurst/Corona,"$1,000 to $1,499",2016,Number,14667,404
Rego Park/Forest Hills,"$1,000 to $1,499",2016,Number,9564,406
Sunnyside/Woodside,"$1,000 to $1,499",2016,Number,15392,402
Ridgewood/Glendale,"$1,000 to $1,499",2016,Number,18337,405
Woodhaven,"$1,000 to $1,499",2016,Number,12516,409
Jamaica/St. Albans,"$1,000 to $1,499",2016,Number,17135,412
Howard Beach,"$1,000 to $1,499",2016,Number,6231,410
The Rockaways,"$1,000 to $1,499",2016,Number,8855,414
Bronx,"$1,000 to $1,499",2016,Number,147482,36005
Brooklyn,"$1,000 to $1,499",2016,Number,230970,36047
Manhattan,"$1,000 to $1,499",2016,Number,95057,36061
Queens,"$1,000 to $1,499",2016,Number,180929,36081
Staten Island,"$1,000 to $1,499",2016,Number,18248,36085
New York City,"$1,000 to $1,499",2016,Number,672686,3651000
Riverdale,"$1,000 to $1,499",2016,Percent,0.42881,208
Williamsbridge,"$1,000 to $1,499",2016,Percent,0.44733,212
Throgs Neck,"$1,000 to $1,499",2016,Percent,0.42873,210
Pelham Parkway,"$1,000 to $1,499",2016,Percent,0.46696,211
Morrisania,"$1,000 to $1,499",2016,Percent,0.26991,203
East Tremont,"$1,000 to $1,499",2016,Percent,0.26991,206
Bedford Park,"$1,000 to $1,499",2016,Percent,0.47577,207
University Heights,"$1,000 to $1,499",2016,Percent,0.37104,205
Concourse/Highbridge,"$1,000 to $1,499",2016,Percent,0.373,204
Unionport/Soundview,"$1,000 to $1,499",2016,Percent,0.41701,209
Mott Haven,"$1,000 to $1,499",2016,Percent,0.2376,201
Hunts Point,"$1,000 to $1,499",2016,Percent,0.2376,202
Washington Heights,"$1,000 to $1,499",2016,Percent,0.33387,112
Manhattanville,"$1,000 to $1,499",2016,Percent,0.23194,109
Central Harlem,"$1,000 to $1,499",2016,Percent,0.21285,110
East Harlem,"$1,000 to $1,499",2016,Percent,0.19404,111
Upper East Side,"$1,000 to $1,499",2016,Percent,0.1195,108
Upper West Side,"$1,000 to $1,499",2016,Percent,0.14867,107
Chelsea/Clinton,"$1,000 to $1,499",2016,Percent,0.09839,104
Midtown Business District,"$1,000 to $1,499",2016,Percent,0.09839,105
Murray Hill/Stuyvesant,"$1,000 to $1,499",2016,Percent,0.13505,106
Lower East Side,"$1,000 to $1,499",2016,Percent,0.14026,103
Battery Park/Tribeca,"$1,000 to $1,499",2016,Percent,0.09323,101
Greenwich Village,"$1,000 to $1,499",2016,Percent,0.09323,102
Tottenville,"$1,000 to $1,499",2016,Percent,0.37174,503
South Beach,"$1,000 to $1,499",2016,Percent,0.34682,502
St. George,"$1,000 to $1,499",2016,Percent,0.3834,501
Williamsburg/Greenpoint,"$1,000 to $1,499",2016,Percent,0.18512,301
Bushwick,"$1,000 to $1,499",2016,Percent,0.3224,304
Bedford Stuyvesant,"$1,000 to $1,499",2016,Percent,0.25456,303
Fort Greene/Brooklyn Hts,"$1,000 to $1,499",2016,Percent,0.15196,302
Park Slope,"$1,000 to $1,499",2016,Percent,0.14202,306
Crown Heights North,"$1,000 to $1,499",2016,Percent,0.28694,308
Brownsville,"$1,000 to $1,499",2016,Percent,0.29462,316
East New York,"$1,000 to $1,499",2016,Percent,0.3683,305
Canarsie,"$1,000 to $1,499",2016,Percent,0.43577,318
East Flatbush,"$1,000 to $1,499",2016,Percent,0.53615,317
Crown Heights South,"$1,000 to $1,499",2016,Percent,0.47198,309
Sunset Park,"$1,000 to $1,499",2016,Percent,0.38475,307
Bay Ridge,"$1,000 to $1,499",2016,Percent,0.51671,310
Borough Park,"$1,000 to $1,499",2016,Percent,0.44936,312
Flatbush/Midwood,"$1,000 to $1,499",2016,Percent,0.50276,314
Sheepshead Bay,"$1,000 to $1,499",2016,Percent,0.4464,315
Bensonhurst,"$1,000 to $1,499",2016,Percent,0.53758,311
Coney Island,"$1,000 to $1,499",2016,Percent,0.32365,313
Astoria,"$1,000 to $1,499",2016,Percent,0.32796,401
Jackson Heights,"$1,000 to $1,499",2016,Percent,0.47872,403
Flushing,"$1,000 to $1,499",2016,Percent,0.41598,407
Bayside,"$1,000 to $1,499",2016,Percent,0.3732,411
Queens Village,"$1,000 to $1,499",2016,Percent,0.4448,413
Fresh Meadows/Briarwood,"$1,000 to $1,499",2016,Percent,0.43642,408
Elmhurst/Corona,"$1,000 to $1,499",2016,Percent,0.45426,404
Rego Park/Forest Hills,"$1,000 to $1,499",2016,Percent,0.3495,406
Sunnyside/Woodside,"$1,000 to $1,499",2016,Percent,0.41865,402
Ridgewood/Glendale,"$1,000 to $1,499",2016,Percent,0.53077,405
Woodhaven,"$1,000 to $1,499",2016,Percent,0.53464,409
Jamaica/St. Albans,"$1,000 to $1,499",2016,Percent,0.4793,412
Howard Beach,"$1,000 to $1,499",2016,Percent,0.47137,410
The Rockaways,"$1,000 to $1,499",2016,Percent,0.35299,414
Bronx,"$1,000 to $1,499",2016,Percent,0.3804,36005
Brooklyn,"$1,000 to $1,499",2016,Percent,0.3589,36047
Manhattan,"$1,000 to $1,499",2016,Percent,0.16762,36061
Queens,"$1,000 to $1,499",2016,Percent,0.42845,36081
Staten Island,"$1,000 to $1,499",2016,Percent,0.37132,36085
New York City,"$1,000 to $1,499",2016,Percent,0.325,3651000
Riverdale,"$1,500 to $1,999",2016,Number,4783,208
Williamsbridge,"$1,500 to $1,999",2016,Number,4344,212
Throgs Neck,"$1,500 to $1,999",2016,Number,3129,210
Pelham Parkway,"$1,500 to $1,999",2016,Number,3830,211
Morrisania,"$1,500 to $1,999",2016,Number,1495.62923,203
East Tremont,"$1,500 to $1,999",2016,Number,1561.37077,206
Bedford Park,"$1,500 to $1,999",2016,Number,2700,207
University Heights,"$1,500 to $1,999",2016,Number,2678,205
Concourse/Highbridge,"$1,500 to $1,999",2016,Number,2299,204
Unionport/Soundview,"$1,500 to $1,999",2016,Number,4696,209
Mott Haven,"$1,500 to $1,999",2016,Number,1805.8409,201
Hunts Point,"$1,500 to $1,999",2016,Number,1031.1591,202
Washington Heights,"$1,500 to $1,999",2016,Number,10495,112
Manhattanville,"$1,500 to $1,999",2016,Number,5650,109
Central Harlem,"$1,500 to $1,999",2016,Number,5163,110
East Harlem,"$1,500 to $1,999",2016,Number,4112,111
Upper East Side,"$1,500 to $1,999",2016,Number,17233,108
Upper West Side,"$1,500 to $1,999",2016,Number,9039,107
Chelsea/Clinton,"$1,500 to $1,999",2016,Number,4629.15717,104
Midtown Business District,"$1,500 to $1,999",2016,Number,2316.84283,105
Murray Hill/Stuyvesant,"$1,500 to $1,999",2016,Number,10199,106
Lower East Side,"$1,500 to $1,999",2016,Number,6812,103
Battery Park/Tribeca,"$1,500 to $1,999",2016,Number,2198.12214,101
Greenwich Village,"$1,500 to $1,999",2016,Number,3244.87786,102
Tottenville,"$1,500 to $1,999",2016,Number,1251,503
South Beach,"$1,500 to $1,999",2016,Number,2066,502
St. George,"$1,500 to $1,999",2016,Number,2911,501
Williamsburg/Greenpoint,"$1,500 to $1,999",2016,Number,9536,301
Bushwick,"$1,500 to $1,999",2016,Number,6306,304
Bedford Stuyvesant,"$1,500 to $1,999",2016,Number,6658,303
Fort Greene/Brooklyn Hts,"$1,500 to $1,999",2016,Number,6033,302
Park Slope,"$1,500 to $1,999",2016,Number,6437,306
Crown Heights North,"$1,500 to $1,999",2016,Number,6355,308
Brownsville,"$1,500 to $1,999",2016,Number,2896,316
East New York,"$1,500 to $1,999",2016,Number,5421,305
Canarsie,"$1,500 to $1,999",2016,Number,5607,318
East Flatbush,"$1,500 to $1,999",2016,Number,3320,317
Crown Heights South,"$1,500 to $1,999",2016,Number,4580,309
Sunset Park,"$1,500 to $1,999",2016,Number,7326,307
Bay Ridge,"$1,500 to $1,999",2016,Number,5544,310
Borough Park,"$1,500 to $1,999",2016,Number,6379,312
Flatbush/Midwood,"$1,500 to $1,999",2016,Number,6545,314
Sheepshead Bay,"$1,500 to $1,999",2016,Number,4675,315
Bensonhurst,"$1,500 to $1,999",2016,Number,4966,311
Coney Island,"$1,500 to $1,999",2016,Number,2806,313
Astoria,"$1,500 to $1,999",2016,Number,16636,401
Jackson Heights,"$1,500 to $1,999",2016,Number,9024,403
Flushing,"$1,500 to $1,999",2016,Number,11769,407
Bayside,"$1,500 to $1,999",2016,Number,4509,411
Queens Village,"$1,500 to $1,999",2016,Number,4661,413
Fresh Meadows/Briarwood,"$1,500 to $1,999",2016,Number,7204,408
Elmhurst/Corona,"$1,500 to $1,999",2016,Number,8833,404
Rego Park/Forest Hills,"$1,500 to $1,999",2016,Number,8347,406
Sunnyside/Woodside,"$1,500 to $1,999",2016,Number,9215,402
Ridgewood/Glendale,"$1,500 to $1,999",2016,Number,6637,405
Woodhaven,"$1,500 to $1,999",2016,Number,5752,409
Jamaica/St. Albans,"$1,500 to $1,999",2016,Number,5649,412
